2018-06-11 20:22:57 INFO  ServerApplication:27 - Server started
2018-06-11 20:26:02 INFO  ServerApplication:27 - Server started
2018-06-11 20:29:19 INFO  ServerApplication:27 - Server started
2018-06-11 20:40:03 INFO  ServerApplication:27 - Server started
2018-06-11 20:40:11 DEBUG SessionConnection:16 - buildSessionFactory
2018-06-11 20:40:12 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
2018-06-11 20:40:14 DEBUG SessionConnection:31 - shutdown
2018-06-11 20:40:14 DEBUG SessionConnection:26 - getSessionFactory
